Release Date,Title,Genre,Overview,Popularity,Vote Count,Vote Average,Original Language,Poster URL
01-12-2010,The Social Network,Drama,Based on the founding of Facebook,85.5,1200,7.7,en,https://example.com/poster1.jpg
15-07-2011,Friends: The Reunion,Comedy,A reunion special with the cast of Friends,90.2,1500,8.5,en,https://example.com/poster2.jpg
01-11-2012,The Hunger Games,Action,Dystopian future where children fight to the death,95.3,2000,7.2,en,https://example.com/poster3.jpg
20-03-2015,House of Cards,Drama,A politician's ruthless rise to power,88.1,1800,8.8,en,https://example.com/poster4.jpg
15-08-2016,Stranger Things,Sci-Fi,A group of kids uncover supernatural mysteries,92.4,2500,8.7,en,https://example.com/poster5.jpg
25-05-2018,Deadpool 2,Action,A foul-mouthed superhero seeks revenge,89,2200,7.9,en,https://example.com/poster6.jpg
25-11-2020,The Crown,Drama,The reign of Queen Elizabeth II,91.5,3000,8.6,en,https://example.com/poster7.jpg
17-09-2021,Money Heist: Part 5,Action,A criminal mastermind plans the biggest heist in history,94,3500,8.3,en,https://example.com/poster8.jpg
25-12-2022,Glass Onion: A Knives Out Mystery,Comedy,A detective investigates a new murder mystery,87.5,4000,8.5,en,https://example.com/poster9.jpg
12-05-2023,Queen Charlotte: A Bridgerton Story,Drama,The story of Queen Charlotte's rise to prominence,85,4500,7.8,en,https://example.com/poster10.jpg
